correct sentences,incorrect sentences
यह प्रतिशत भारत में हिन्दुओं प्रतिशत से अधिक है।,यह प्रतिशत भरत में हिन्दुओं प्रतिशत से अधिक है।
हम ये नहीं कहना चाहते कि वो ध्यान नहीं दे पाते,हम ये नहीं कहना चाते कि वो ध्यान नहीं दे पाते
इन्हीं वेदों का अंतिम भाग उपनिषद कहलाता है।,इन्हीं वेदों का अंतिम भग उपनिषद कहलाता है।
"कश्मीर के तत्कालीन गवर्नर ने इस हस्तांतरण का विरोध किया था , लेकिन अंग्रेजों की सहायता से उनकी आवाज दबा दी गयी .","कश्मीर के तत्कालीन गर्नर ने इस हस्तांतरण का विरोध किया था , लेकिन अंग्रेजों की सहायता से उनकी आवाज दबा दी गयी ."
इसमें तुमसे पूर्व गुज़रे हुए लोगों के हालात हैं।,इसमें तुमसे पूर्व गुज़रे हुए लोगों के हलात हैं।
और हम होते कौन हैं यह कहने भी वाले कि वे गलत हैं,और हम होते कौन हैं यह कहने भी वाले कि वे गत हैं
"पहली बार किसी राजनैतिक पार्टी को बहुमत प्राप्त हुआ, और भाजपा ने गुजरात के पूर्व मुख्यमंत्री नरेंद्र मोदी के नेतृत्व में सरकार बनाई।","पहली बार किसी राजनैतिक पार्टी को बहुमत प्राप्त हुआ, और भापा ने गुजरात के पूर्व मुख्यमंत्री नरेंद्र मोदी के नेतृत्व में सरकार बनाई।"
एक नगर में प्रतिष्ठित व्यापारी रहते थे जिन्हें बहुत समय बाद एक पुत्र की प्राप्ति हुई थी|,एक नगर में प्रतिष्ठित व्यापारी रहते थे जिन्हें बहुत सय बाद एक पुत्र की प्राप्ति हुई थी|
उसका नाम चंद्रकांत रखा गया|,उसका नम चंद्रकांत रखा गया|
चंद्रकांत घर में सभी का दुलारा था |,चंद्रकांत घर में सभी का दुरा था |
"अतिकठिनाई एवं लंबे समय इंतजार के बाद संतान का सुख मिलने पर, घर के प्रत्येक व्यक्ति के मन में व्यापारी के पुत्र चंद्रकांत के प्रति विशेष लाड़ प्यार था जिसने चंद्रकांत को बहुत बिगाड़ दिया था","अतिकठिनाई एवं लंबे समय इंतजार के बाद संतन का सुख मिलने पर, घर के प्रत्येक व्यक्ति के मन में व्यापारी के पुत्र चंद्रकांत के प्रति विशेष लाड़ प्यार था जिसने चंद्रकांत को बहुत बिगाड़ दिया था"
घर में किसी भी बात का अभाव नहीं था,घर में किसी भी बात का भाव नहीं था
द्रकांत की मांग से पहले ही उसकी सभी इच्छाये पूरी कर दी जाती थी,द्रकांत की मांग से पले ही उसकी सभी इच्छाये पूरी कर दी जाती थी
शायद इसी के कारण चंद्रकांत को ना सुनने की आदत नहीं थी और ना ही मेहनत के महत्व का आभास था,शायद इसी के कारण चंद्रकांत को ना सुनने की आदत नहीं थी और ना ही मेनत के महत्व का आभास था
चंद्रकांत ने जीवन में कभी अभाव नहीं देखा था इसलिए उसका नजरिया जीवन के प्रति बहुत अलग था और वहीं व्यापारी ने कड़ी मेहनत से अपना व्यापार बनाया था |,चंद्रकांत ने जीवन में कभी अभाव नहीं देखा था इसलिए उसका नरिया जीवन के प्रति बहुत अलग था और वहीं व्यापारी ने कड़ी मेहनत से अपना व्यापार बनाया था |
ढलती उम्र के साथ व्यापारी को अपने कारोबार के प्रति चिंता होने लगी थी |,ढलती उम्र के साथ व्यापारी को अपने कारबार के प्रति चिंता होने लगी थी |
व्यापारी को चंद्रकांत के व्यवहार से प्रत्यक्ष था कि उसके पुत्र को मेहनत के फल का महत्व नहीं पता |,व्यापारी को चंद्रकांत के व्यवहार से प्रत्यक्ष था कि उसके पुत्र को मेनत के फल का महत्व नहीं पता |
